,ITEM.,DESCRIPCION DE PARTIDA,UND.,METRADO CONTRACTUAL,P.U. OFERTA S/.,ACUMULADO ANTERIOR,AVANCE ACTUAL,ppto,costacum,costact
24,01.02.02,EQUIPOS DE PROTECCIÓN INDIVIDUAL,glb,1.0,20608.56,0.54,0.11,20608.56,11128.62,2266.94
25,01.02.03,EQUIPOS DE PROTECCIÓN COLECTIVA,glb,1.0,288.01,0.54,0.11,288.01,155.53,31.68
26,01.02.04,CAPACITACIÓN EN SEGURIDAD Y SALUD,glb,1.0,3600.0,0.54,0.11,3600.0,1944.0,396.0
27,01.02.05,RECURSOS PARA RESPUESTAS ANTE EMERGENCIAS EN SEGURIDAD Y SALUD DURANTE EL TRABAJO,glb,1.0,3150.0,0.54,0.11,3150.0,1701.0,346.5
28,2,PAVIMENTOS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2.01,TRAMO: AV. CIRCUNVALACION - OVALO HUAÑEC - PUENTE TUMI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,02.01.01,DEMOLICIONES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,02.01.01.01,DEMOLICION DE PAVIMENTO FLEXIBLE C/EQUIPO E=0.05M,m2,15662.29,6.72,12284.0,2399.53,105250.59,82548.48,16124.84
32,02.01.01.02,DEMOLICION DE PAVIMENTO RIGIDO C/EQUIPO E=0.20M,m2,3639.35,17.33,0.0,3247.34,63069.94,0.0,56276.4
33,02.01.01.03,DEMOLICION DE SARDINEL SUMERGIDO 0.15X0.40M,m,3356.48,20.81,3033.05,242.05,69848.35,63117.77,5037.06
34,02.01.01.04,DEMOLICION DE SARDINEL SUMERGIDO DE 0.30X0.50M,m,197.79,20.81,0.0,176.75,4116.01,0.0,3678.17
35,02.01.01.05,"ELIMINACION DE EXCEDENTES DE EXCAVACION C/VOLQUETE (CARGUÍO, TRANSPORTE Y DISPOSICION FINAL)",m3,2225.5,25.18,796.18,1127.77,56038.09,20047.81,28397.25
36,02.01.02,"TRAZO, NIVELACIÓN Y REPLANTEO",,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,02.01.02.01,TRAZO Y REPLANTEO PRELIMINAR C/EQUIPO,m2,20854.39,1.54,14760.0,2801.99,32115.76,22730.4,4315.06
38,02.01.03,MOVIMIENTO DE TIERRAS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,02.01.03.01,EXCAVACION HASTA SUBRASANTE EN MATERIAL SUELTO C/ TRACTOR HP 140-160HP,m3,13810.07,5.91,8813.48,673.78,81617.51,52087.67,3982.04
40,02.01.03.02,RELLENO COMPACTADO CON MATERIAL DE PRESTAMO C/EQUIPO HASTA NIVEL DE SUBRASANTE,m3,4.38,57.83,0.0,0.0,253.3,0.0,0.0
41,02.01.03.03,CONFORMACION Y COMPACTACIÓN DE SUBRASANTE,m2,20854.39,2.09,13500.0,1620.0,43585.68,28215.0,3385.8
42,02.01.03.04,"ELIMINACION DE EXCEDENTES DE EXCAVACION C/VOLQUETE (CARGUÍO, TRANSPORTE Y DISPOSICION FINAL)",m3,15342.94,25.18,11016.84,842.23,386335.23,277404.03,21207.35
43,02.01.04,SUB BASE GRANULAR,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,02.01.04.01,SUB BASE GRANULA e=0.20 m,m2,20854.39,12.33,13500.0,630.0,257134.63,166455.0,7767.9
45,02.01.05,PAVIMENTO RIGIDO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,02.01.05.01,COLOCACION Y RETIRO DE GUIAS PARA PAVIMENTADORA,m,8299.0,1.89,2702.0,2519.4,15685.11,5106.78,4761.67
47,02.01.05.02,SUMINISTRO Y COLOCACION DE DOWELS LISO L=0.45m ALTURA = 0.15m (INCLUYE CANASTILLA),m,7215.16,54.85,2025.0,1894.5,395751.53,111071.25,103913.33
48,02.01.05.03,SUMINISTRO Y COLOCACION DE ACERO FY= 4200 kg/cm2 EN JUNTA LONGITUDINAL,kg,6619.44,3.82,1731.2,2321.1,25286.26,6613.18,8866.6
49,02.01.05.04,LOSA DE CONCRETO F´C=350 KG/CM2 C/PAVIMENTADORA (H=0.30cm),m2,20854.39,92.12,5661.0,7221.17,1921106.41,521491.32,665214.18
50,02.01.05.05,FLOTADO Y TEXTURIZADO DE CONCRETO,m2,20854.39,1.87,5661.0,7221.17,38997.71,10586.07,13503.59
51,02.01.05.06,CORTE CON DISCO EN JUNTAS TRANSVERSAL Y LONGITUDINAL,m,11956.99,2.68,3145.0,3925.2,32044.73,8428.6,10519.54
52,02.01.05.07,"SELLADO DE JUNTAS DE CONSTRUCCIÓN, CONTRACCIÓN Y ASFALTICA",m,11956.99,6.98,0.0,0.0,83459.79,0.0,0.0
53,02.01.05.08,CURADO DE CONCRETO,m2,20854.39,1.88,5661.0,7221.17,39206.25,10642.68,13575.8
54,02.01.06,VARIOS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,02.01.06.01,LIMPIEZA GENERAL DE LA OBRA,m2,35196.47,0.83,0.0,0.0,29213.07,0.0,0.0
56,02.01.06.02,NIVELACION Y REPOSICION DE TAPA DE BUZON A NIVEL DE RASANTE,und,43.0,900.1,0.0,0.0,38704.3,0.0,0.0
57,2.02,SEÑALIZACION,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,02.02.01,SEÑALIZACION HORIZONTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,02.02.01.01,PINTADO DE PAVIMENTOS (LINEA CONTINUA Y DISCONTINUA),m,4436.16,11.4,0.0,0.0,50572.22,0.0,0.0
60,02.02.01.02,PINTADO DE PAVIMENTOS SIMBOLOS Y LETRAS,m2,1111.75,33.35,0.0,0.0,37076.86,0.0,0.0
61,02.02.01.03,GIBA DE ASFALTO EN FRIO (H=8 CM),und,9.0,975.63,0.0,0.0,8780.67,0.0,0.0
62,02.02.01.04,TACHAS RETROFLECTIVAS,und,1107.0,10.43,0.0,0.0,11546.01,0.0,0.0
63,02.02.02,SEÑALIZACION VERTICAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,02.02.02.01,SEÑALES PREVENTIVAS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,02.02.02.01.01,SEÑAL PREVENTIVA,und,39.0,425.72,0.0,0.0,16603.08,0.0,0.0
66,02.02.02.02,SEÑALES REGLAMENTARIAS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,02.02.02.02.01,SEÑAL REGLAMENTARIA,und,14.0,423.68,0.0,0.0,5931.52,0.0,0.0
68,02.02.02.03,SEÑALES INFORMATIVAS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,02.02.02.03.01,SEÑAL INFORMATIVA,und,6.0,431.33,0.0,0.0,2587.98,0.0,0.0
70,02.02.02.03.02,SEÑAL INFORMATIVA NOMENCLATURA DE CALLES (INCLUYE POSTE),und,9.0,387.45,0.0,0.0,3487.05,0.0,0.0
71,02.02.02.03.03,SEÑAL INFORMATIVA  ELEVADA (INCLUYE POSTE),und,1.0,4050.0,0.0,0.0,4050.0,0.0,0.0
72,02.02.03,"POSTE DE SOPORTE DE SEÑALES VERTICALES, INC. INSTALACION",,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,02.02.03.01,"POSTES PEDESTAL 2 1/2"" X 3.50 m",und,59.0,216.79,0.0,0.0,12790.61,0.0,0.0
74,2.03,BOCACALLES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,02.03.01,OBRAS PRELIMINARES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,02.03.01.01,TRAZO Y REPLANTEO PRELIMINAR C/EQUIPO,m2,1849.61,1.54,0.0,0.0,2848.4,0.0,0.0
77,02.03.02,MOVIMIENTO DE TIERRAS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,02.03.02.01,EXCAVACION HASTA SUBRASANTE EN MATERIAL SUELTO C/ TRACTOR HP 140-160HP,m3,878.56,5.91,0.0,0.0,5192.29,0.0,0.0
79,02.03.02.02,CONFORMACION Y COMPACTACIÓN DE SUBRASANTE,m2,1849.61,2.09,0.0,0.0,3865.68,0.0,0.0
80,02.03.02.03,"ELIMINACION DE EXCEDENTES DE EXCAVACION C/VOLQUETE (CARGUÍO, TRANSPORTE Y DISPOSICION FINAL)",m3,1098.21,25.18,0.0,0.0,27652.93,0.0,0.0
81,02.03.03,SUB BASE GRANULAR,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,02.03.03.01,SUB BASE GRANULA e=0.20 m,m2,1849.61,12.33,0.0,0.0,22805.69,0.0,0.0
83,02.03.04,PAVIMENTO RIGIDO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,02.03.04.01,SUMINISTRO Y COLOCACION DE DOWELS LISO L=0.45m ALTURA = 0.1375m (INCLUYE CANASTILLA),m,460.82,54.85,0.0,0.0,25275.98,0.0,0.0
85,02.03.04.02,SUMINISTRO Y COLOCACION DE ACERO FY= 4200 kg/cm2 EN JUNTA LONGITUDINAL,kg,875.79,3.82,0.0,0.0,3345.52,0.0,0.0
86,02.03.04.03,LOSA DE CONCRETO F´C=350 KG/CM2  (H=0.275 cm) EN BOCACALLE,m2,1849.61,78.08,0.0,0.0,144417.55,0.0,0.0
87,02.03.04.04,ENCOFRADO Y DESENCOFRADO EN BOCACALLE,m2,171.34,30.34,0.0,0.0,5198.46,0.0,0.0
88,02.03.04.05,FLOTADO Y TEXTURIZADO DE CONCRETO,m2,1849.61,1.87,0.0,0.0,3458.77,0.0,0.0
89,02.03.04.06,CORTE CON DISCO EN JUNTAS TRANSVERSAL Y LONGITUDINAL,m,1088.25,2.68,0.0,0.0,2916.51,0.0,0.0
90,02.03.04.07,"SELLADO DE JUNTAS DE CONSTRUCCIÓN, CONTRACCIÓN Y ASFALTICA",m,1088.25,6.98,0.0,0.0,7595.99,0.0,0.0
91,02.03.04.08,CURADO DE CONCRETO,m2,1849.61,1.88,0.0,0.0,3477.27,0.0,0.0
92,3,SEMAFORIZACION,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,3.01,"TRAZO, NIVELACIÓN Y REPLANTEO",,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,03.01.01,TRAZO Y REPLANTEO PRELIMINAR C/EQUIPO,m2,357.26,1.54,0.0,0.0,550.18,0.0,0.0
95,3.02,MOVIMIENTO DE TIERRAS PARA BASES DE STRUCTURAS SEMAFORICAS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,03.02.01,"CORTE CON DISCO EN VEREDA DE CONCRETO E= 4-6""",m,48.8,5.75,0.0,0.0,280.6,0.0,0.0
97,03.02.02,DEMOLICION DE VEREDAS DE 0.10 m,m2,10.76,8.24,0.0,0.0,88.66,0.0,0.0
98,03.02.03,EXCAVACION  PARA CIMIENTOS - ZAPATAS EN TERRENO NORMAL,m3,9.61,31.58,0.0,0.0,303.48,0.0,0.0
99,03.02.04,"ELIMINACION DE EXCEDENTES DE EXCAVACION C/VOLQUETE (CARGUÍO, TRANSPORTE Y DISPOSICION FINAL)",m3,14.96,25.18,0.0,0.0,376.69,0.0,0.0
100,3.03,OBRAS DE CONCRETO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,03.03.01,ESTRUCTURA METALICA DE ZAPATA PARA SEMIPORTICO O BANDERA,und,5.0,763.01,0.0,0.0,3815.05,0.0,0.0
102,03.03.02,ESTRUCTURA METALICA DE ZAPATA PARA PEDESTAL,und,9.0,275.48,0.0,0.0,2479.32,0.0,0.0
103,03.03.03,CONCRETO PREMEZCLADO PARA ZAPATA  f'c = 175 kg/cm2 PARA PEDESTAL,m3,4.61,262.14,0.0,0.0,1208.47,0.0,0.0
104,03.03.04,CONCRETO PREMEZCLADO PARA ZAPATA  f'c = 210 kg/cm2 PARA SEMIPORTICO,m3,5.0,255.53,0.0,0.0,1277.65,0.0,0.0
105,03.03.05,ENCOFRADO DE ZAPATAS,und,14.0,41.53,0.0,0.0,581.42,0.0,0.0
106,3.04,CANALIZACION,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,03.04.01,"CANALIZACION EN PISTA, DUCTO DE 2 VIAS (3"")",m,55.24,203.26,0.0,0.0,11228.08,0.0,0.0
108,03.04.02,"CANALIZACION EN VEREDAS, DUCTO DE 2 VIAS (3"")",m,440.17,110.84,0.0,0.0,48788.44,0.0,0.0
109,03.04.03,"CANALIZACION EN VEREDAS, DUCTO DE 1 VIA (3"")",m,41.18,88.88,0.0,0.0,3660.08,0.0,0.0
110,03.04.04,"CANALIZACION EN JARDIN, DUCTO DE 1 VIA (3"")",m,35.55,65.09,0.0,0.0,2313.95,0.0,0.0
111,03.04.05,"CANALIZACION EN JARDIN, DUCTO DE 2 VIA (3"")",m,5.33,77.22,0.0,0.0,411.58,0.0,0.0
112,3.05,CAJAS DE PASO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,03.05.01,CAJAS DE PASO TIPO CE-2,und,10.0,678.64,0.0,0.0,6786.4,0.0,0.0
114,03.05.02,CAJAS DE PASO TIPO CE-3,und,1.0,885.79,0.0,0.0,885.79,0.0,0.0
115,03.05.03,CAJAS DE PASO TIPO CE-1,und,3.0,578.28,0.0,0.0,1734.84,0.0,0.0
116,3.06,ESTRUCTURA METALICA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,03.06.01,SEMIPORTICO CON DOS (02) SEMAF. VEHICULARES AEREOS 1C-3L,und,2.0,5094.27,0.0,0.0,10188.54,0.0,0.0
118,03.06.02,"BANDERA CON UN(01) SEMAF. VEHICULAR AEREO 1C-3L, CON UN (01) SEMAF. VEH. ADOSADO 1C-3L",und,3.0,4725.45,0.0,0.0,14176.35,0.0,0.0
119,03.06.03,PEDESTAL CON UN (01) SEMAF. VEHICULAR,und,2.0,1323.18,0.0,0.0,2646.36,0.0,0.0
120,03.06.04,PEDESTAL CON DOS (02) SEMAF. VEHICULAR 1C-2L,und,2.0,1755.0,0.0,0.0,3510.0,0.0,0.0
121,03.06.05,PEDESTAL CON UN (01) SEMAF. PEATONAL 1C-2L,und,4.0,1215.0,0.0,0.0,4860.0,0.0,0.0
122,03.06.06,PEDESTAL PARA CONTRALADOR DE TRAFICO,und,1.0,1588.5,0.0,0.0,1588.5,0.0,0.0
123,3.07,TRASLADO E INSTALACION DE ESTRUCTURAS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,03.07.01,INSTALACION DE SEMIPORTICOS O BANDERAS (INCLUYE TRANSPORTE),und,5.0,416.87,0.0,0.0,2084.35,0.0,0.0
125,03.07.02,INSTALACION DE PEDESTALES (INCLUYE TRASNPORTE),und,9.0,238.23,0.0,0.0,2144.07,0.0,0.0
126,3.08,SEMAFOROS LED´S,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,03.08.01,AEREO VEHICULAR DE 1C-3L CON LED´S,und,7.0,1816.0,0.0,0.0,12712.0,0.0,0.0
128,03.08.02,ADOSADO VEHICULAR DE 1C-3L CON LED´S,und,4.0,1816.0,0.0,0.0,7264.0,0.0,0.0
129,03.08.03,ADOSADO VEHICULAR DE 1C-3F CON LED´S (CON FLECHAS),und,1.0,1892.61,0.0,0.0,1892.61,0.0,0.0
130,03.08.04,PEDESTAL PEATONAL DE 1C-2L CON LED´S,und,4.0,1712.45,0.0,0.0,6849.8,0.0,0.0
131,03.08.05,PEDESTAL VEHICULAR DE 1C-3L CON LED´S,und,4.0,1816.0,0.0,0.0,7264.0,0.0,0.0
132,03.08.06,REPETIDOR ACUSTICO,und,4.0,1389.79,0.0,0.0,5559.16,0.0,0.0
133,3.09,CABLES (SUMINISTRO E INSTALACIÓN),,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,03.09.01,CABLE DE CONTROL (4x16 AWG-NMT-NPT),m,1359.43,10.86,0.0,0.0,14763.41,0.0,0.0
135,03.09.02,CABLE DE CONTROL (3x16 AWG-NMT-NPT),m,227.83,9.67,0.0,0.0,2203.12,0.0,0.0
136,03.09.03,CABLE DE ACOMETIDA (2X12 AWG-NMT-NPT),m,13.56,8.03,0.0,0.0,108.89,0.0,0.0
137,03.09.04,CABLE ELECTRICO 1X10 MM2,m,327.01,9.55,0.0,0.0,3122.95,0.0,0.0
138,03.09.05,CABLE DE COBRE DESNUDO 1X35 MM2 (PARA EN LACE DE POZO A TIERRA),m,30.0,20.88,0.0,0.0,626.4,0.0,0.0
139,3.1,CONTROL DE TRAFICO (SUMINISTRO E INSTALACION),,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,03.10.01,CONTRALADOR DE TRAFICO DE 16 GRUPOS,und,1.0,51133.89,0.0,0.0,51133.89,0.0,0.0
141,3.11,SUMINISTRO E INSTALACIÓN DE EE.EE (CON MURETE),,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,03.11.01,OPCION TARIFARIA,und,1.0,1335.03,0.0,0.0,1335.03,0.0,0.0
143,3.12,POZO A TIERRA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,03.12.01,POZO DE TIERRA (INCLY. SUMINISTRO E INSTALACION ),und,1.0,1646.99,0.0,0.0,1646.99,0.0,0.0
145,4,VEREDAS DE CONCRETO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,4.01,OBRAS PRELIMINARES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,04.01.01,TRAZO Y REPLANTEO PRELIMINAR C/EQUIPO,m2,12496.26,1.54,2754.2,236.57,19244.24,4241.47,364.32
148,4.02,DEMOLICIONES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,04.02.01,DEMOLICION DE VEREDAS DE CONCRETO C/EQUIPO  E=0.15M,m2,4394.24,15.44,2128.44,1635.74,67847.07,32863.11,25255.83
150,04.02.02,DEMOLICION DE DADOS DE CONCRETO EN SEÑALIZACION EXISTENTE (h=0.60m),m2,1.08,18.27,0.0,0.0,19.73,0.0,0.0
151,04.02.03,RETIRO Y ELIMINACION DE SEÑAL EXISTENTE,und,3.0,36.45,0.0,0.0,109.35,0.0,0.0
152,04.02.04,"ELIMINACION DE EXCEDENTES DE EXCAVACION C/VOLQUETE (CARGUÍO, TRANSPORTE Y DISPOSICION FINAL)",m3,823.92,25.18,415.05,290.75,20746.31,10450.96,7321.09
153,4.03,MOVIMIENTO DE TIERRAS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,04.03.01,EXCAVACION A MANO EN TERRENO NORMAL PARA VEREDAS,m3,3193.44,31.58,523.84,27.52,100848.84,16542.87,869.08
155,04.03.02,EXCAVACION A MANO EN TERRENO NORMAL PARA RAMPAS,m3,269.94,31.58,0.0,0.0,8524.71,0.0,0.0
156,04.03.03,CONFORMACION Y COMPACTACIÓN DE SUBRASANTE PARA VEREDAS,m2,11666.46,4.94,1659.86,619.61,57632.31,8199.71,3060.87
157,04.03.04,CONFORMACION Y COMPACTACIÓN DE SUBRASANTE PARA RAMPAS,m2,829.8,4.94,0.0,0.0,4099.21,0.0,0.0
158,04.03.05,"ELIMINACION DE EXCEDENTES DE EXCAVACION C/VOLQUETE  (CARGUÍO, TRANSPORTE Y DISPOSICION FINAL)",m3,3505.31,25.18,720.23,0.0,88263.71,18135.39,0.0
159,4.04,BASES GRANULAR,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,04.04.01,BASE GRANULAR E = 0.10 m PARA VEREDAS,m2,11666.46,23.58,1971.85,307.62,275095.13,46496.22,7253.68
161,04.04.02,BASE GRANULAR E = 0.10 m PARA RAMPAS,m2,829.8,23.58,0.0,0.0,19566.68,0.0,0.0
162,4.05,CONCRETO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,04.05.01,ENCOFRADO Y DESENCOFRADO DE VEREDAS,m2,2177.87,28.35,155.37,365.75,61742.61,4404.74,10369.01
164,04.05.02,ENCOFRADO Y DESENCOFRADO DE RAMPAS,m2,19.64,28.35,0.0,0.0,556.79,0.0,0.0
165,04.05.03,"VEREDA DE CONCRETO PREMEZCLADO F'C= 175 kg/cm2, E= 0.10m ACABADO. C.A. 1:2",m3,1580.34,265.55,295.37,63.21,419659.29,78435.5,16785.42
166,04.05.04,"RAMPAS PEATONALES DE CONCRETO PREMEZCLADO, f'c 175 kg/cm2 E=0.10m. ACABADO C:A 1:2",m3,43.56,300.28,0.0,0.0,13080.2,0.0,0.0
167,04.05.05,"RAMPAS VEHICULARES DE CONCRETO PREMEZCLADO, f'c 350 kg/cm2 E=0.15m ACABADO C:A 1:2",m3,93.83,356.03,0.0,0.0,33406.29,0.0,0.0
168,04.05.06,"JUNTA CON ASFALTO E=1"" PARA VEREDAS",m,3059.21,2.97,0.0,0.0,9085.85,0.0,0.0
169,04.05.07,CURADO DE CONCRETO,m2,12496.26,1.88,2042.54,510.75,23492.97,3839.98,960.21
170,4.06,VARIOS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,04.06.01,NIVELACION Y RESANE DE CAJAS DOMICILIARIAS DE AGUA Y DESAGÜE,und,21.0,123.44,0.0,0.0,2592.24,0.0,0.0
172,04.06.02,SUMINISTRO E INSTALACIÓN DE BOLARDOS DE CONCRETO ALINEADO.,und,99.0,87.89,0.0,0.0,8701.11,0.0,0.0
173,04.06.03,FABRICACIÓN Y COLOCACIÓN DE BARANDAS METÁLICAS (INCLUYE. PINTURA),m,497.92,189.27,0.0,0.0,94241.32,0.0,0.0
174,5,SARDINELES Y MURO SEPARADOR CENTRAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,5.01,SARDINELES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,05.01.01,OBRAS PRELIMINARES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,05.01.01.01,TRAZO Y REPLANTEO PRELIMINAR C/EQUIPO,m2,424.05,1.54,0.0,70.56,653.04,0.0,108.66
178,05.01.02,MOVIMIENTO DE TIERRAS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,05.01.02.01,EXCAVACION A MANO EN TERRENO NORMAL PARA SARDINELES,m3,190.82,31.58,0.0,10.59,6026.1,0.0,334.43
180,05.01.02.02,"ELIMINACION DE EXCEDENTES DE EXCAVACION C/VOLQUETE (CARGUÍO, TRANSPORTE Y DISPOSICION FINAL)",m3,238.53,25.18,0.0,13.23,6006.19,0.0,333.13
181,05.01.03,OBRAS DE CONCRETO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,05.01.03.01,ENCOFRADO Y DESENCOFRADO NORMAL EN SARDINEL,m2,848.09,33.67,0.0,281.74,28555.19,0.0,9486.19
183,05.01.03.02,ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60,kg,17515.91,4.06,0.0,2911.57,71114.59,0.0,11820.97
184,05.01.03.03,"SARDINEL DE CONCRETO PREMEZCLADO F'C= 175 kg/cm2, E= 0.15m ACABADO. C.A. 1:2",m3,254.43,328.22,0.0,79.67,83509.01,0.0,26149.29
185,05.01.03.04,"JUNTA DE 1"" DE POLIESTILENO CADA 3.50 M Y PERIMETRAL",m,2957.01,17.57,0.0,492.14,51954.67,0.0,8646.9
186,05.01.03.05,CURADO DE CONCRETO,m2,1272.14,1.88,0.0,352.17,2391.62,0.0,662.08
187,05.01.03.06,PINTADO DE SARDINEL PERALTADO,m,2826.97,13.13,0.0,0.0,37118.12,0.0,0.0
188,5.02,MURO SEPARADOR CENTRAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,05.02.01,OBRAS PRELIMINARES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,05.02.01.01,TRAZO Y REPLANTEO PRELIMINAR C/EQUIPO,m2,234.63,1.54,0.0,0.0,361.33,0.0,0.0
191,05.02.02,MOVIMIENTO DE TIERRAS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,05.02.02.01,EXCAVACION A MANO EN TERRENO NORMAL EN MUROS,m3,129.04,31.58,0.0,0.0,4075.08,0.0,0.0
193,05.02.02.02,RELLENO CON MATERIAL DE PRESTAMO,m3,30.17,44.26,0.0,0.0,1335.32,0.0,0.0
